warning: The `fitz` API is deprecated and will be removed in future. Use `import pymupdf` instead.
p1 size=6.5 bold=True x0=114 | SYNTHETIC TEST DATA — GENERATED FOR SOFTWARE QA — NOT A REAL SOLICITATION, COMPANY, OR CREDENTIAL
p1 size=7.0 bold=False x0=448 | MOCK DOCUMENT — TEST FIXTURE
p1 size=8.0 bold=False x0=56 | [SPECIMEN SOLICITATION — FICTIONAL AGENCY DATA]
p1 size=16.0 bold=True x0=56 | City of Jacksonville — Procurement Division
p1 size=12.5 bold=True x0=56 | Request for Proposals (RFP) No. RFP-2026-0847-JANI
p1 size=9.5 bold=False x0=56 | Janitorial & Custodial Services — City Hall Annex & Duval County Courthouse Complex
p1 size=8.7 bold=True x0=74 | Issuing Agency
p1 size=8.7 bold=False x0=226 | City of Jacksonville, Procurement Division (test fixture)
p1 size=8.7 bold=True x0=74 | Solicitation Number
p1 size=8.7 bold=False x0=226 | RFP-2026-0847-JANI
p1 size=8.7 bold=True x0=74 | Estimated Annual Contract Value
p1 size=8.7 bold=False x0=226 | $480,000 / year
p1 size=8.7 bold=True x0=74 | Contract Term
p1 size=8.7 bold=False x0=226 | 3-year base + two 1-year renewal options
p1 size=8.7 bold=True x0=74 | Total Cleanable Square Footage
p1 size=8.7 bold=False x0=226 | 212,000 sq ft (City Hall Annex: 96,000 / Courthouse Complex: 116,000)
p1 size=8.7 bold=True x0=74 | Pre-Proposal Conference
p1 size=8.7 bold=False x0=226 | Sept 15, 2026, 10:00 AM — Procurement Conference Room B (non-mandatory)
p1 size=8.7 bold=True x0=74 | Questions Deadline
p1 size=8.7 bold=False x0=226 | Sept 22, 2026, 5:00 PM
p1 size=8.7 bold=True x0=74 | Proposal Due Date
p1 size=8.7 bold=False x0=226 | Oct 6, 2026, 3:00 PM local time
p1 size=8.7 bold=True x0=74 | Set-Aside Status
p1 size=8.7 bold=False x0=226 | Total Small Business Set-Aside; JSEB participation encouraged (5-point scoring credit)
p1 size=12.5 bold=True x0=56 | 1. Scope of Work
p1 size=9.5 bold=False x0=56 | The successful contractor shall provide comprehensive janitorial and custodial services across both facilities, organized
p1 size=9.5 bold=False x0=56 | into three service tiers:
p1 size=9.5 bold=True x0=56 | 1.1 Day Porter Services (M–F, 7:00 AM–4:00 PM)
p1 size=9.5 bold=False x0=56 | Restroom checks and restocking every 2 hours; lobby and high-traffic floor care; spot-cleaning of glass/entry doors;
p1 size=9.5 bold=False x0=56 | trash/recycling collection from public areas; response to spill/incident calls within 15 minutes.
p1 size=9.5 bold=True x0=56 | 1.2 Night Shift Services (M–F, 6:00 PM–2:00 AM)
p1 size=9.5 bold=False x0=56 | Full trash/recycling pull from all offices and common areas; vacuuming of all carpeted areas; damp-mopping of
p1 size=9.5 bold=False x0=56 | hard-surface flooring; full restroom cleaning and restocking; kitchen/break room cleaning; dusting of horizontal
p1 size=9.5 bold=False x0=56 | surfaces; interior glass spot-cleaning; secure lock-up and alarm-set procedures per facility security protocol.
p1 size=9.5 bold=True x0=56 | 1.3 Periodic Care (Scheduled / Quarterly unless noted)
p1 size=9.5 bold=False x0=56 | • Strip and refinish VCT flooring — 2x per year, all corridors and lobbies
p1 size=9.5 bold=False x0=56 | • Carpet extraction (hot water extraction method) — quarterly, all carpeted office space
p1 size=9.5 bold=False x0=56 | • High/low dusting and vent cleaning — quarterly
p1 size=9.5 bold=False x0=56 | • Exterior-accessible window washing (up to 2nd floor) — quarterly
p1 size=9.5 bold=False x0=56 | • Upholstery cleaning, public seating areas — semi-annually
p1 size=9.5 bold=False x0=56 | • Pressure washing of exterior walkways and entries — semi-annually
p1 size=12.5 bold=True x0=56 | 2. Evaluation Criteria (100 Points Total)
p1 size=8.5 bold=True x0=74 | Criterion
p1 size=8.5 bold=True x0=226 | Points
p1 size=8.5 bold=True x0=269 | What Evaluators Are Scoring
p1 size=8.5 bold=False x0=74 | Technical Approach & Work Plan
p1 size=8.5 bold=False x0=226 | 30
p1 size=8.5 bold=False x0=269 | Cleaning methodology, quality-control plan, chemical/equipment standards, green-cleaning
p1 size=8.5 bold=False x0=74 | Staffing Plan & Key Personnel
p1 size=8.5 bold=False x0=226 | 20
p1 size=8.5 bold=False x0=269 | Supervisor-to-staff ratios, background-check procedures, staff retention plan, bilingual cover
p2 size=6.5 bold=True x0=114 | SYNTHETIC TEST DATA — GENERATED FOR SOFTWARE QA — NOT A REAL SOLICITATION, COMPANY, OR CREDENTIAL
